Date,Temperature
2024-01-01,25.5
2024-01-02,25.54
2024-01-03,26.98
2024-01-04,28.47
2024-01-05,27.26
2024-01-06,27.74
2024-01-07,29.93
2024-01-08,29.41
2024-01-09,28.35
2024-01-10,29.42
2024-01-11,28.37
2024-01-12,28.22
2024-01-13,28.69
2024-01-14,26.21
2024-01-15,26.01
2024-01-16,26.73
2024-01-17,25.81
2024-01-18,26.67
2024-01-19,24.98
2024-01-20,24.05
2024-01-21,26.56
2024-01-22,24.57
2024-01-23,24.65
2024-01-24,23.05
2024-01-25,23.92
2024-01-26,24.68
2024-01-27,23.63
2024-01-28,25.47
2024-01-29,24.91
2024-01-30,25.72
2024-01-31,25.99
2024-02-01,29.07
2024-02-02,27.87
2024-02-03,27.5
2024-02-04,30.05
2024-02-05,28.65
2024-02-06,30.68
2024-02-07,29.04
2024-02-08,30.11
2024-02-09,31.99
2024-02-10,32.78
2024-02-11,32.35
2024-02-12,32.09
2024-02-13,31.83
2024-02-14,30.47
2024-02-15,30.96
2024-02-16,30.87
2024-02-17,31.98
2024-02-18,30.82
2024-02-19,28.24
