,Age,Salary
0,24,18556
1,21,18890
2,22,23838
3,24,29356
4,20,26080
5,22,29502
6,22,20393
7,24,25627
8,19,23792
9,20,25555
10,24,25253
11,20,23433
12,20,25233
13,22,26016
14,21,22513
15,20,17612
16,23,22041
17,22,24555
18,19,21235
19,21,20486
20,23,22099
21,23,24670
22,19,25748
23,21,15775
24,22,27206
25,18,23226
26,21,29541
27,19,18152
28,23,25147
29,22,16585
30,21,18943
31,18,22555
32,18,18073
33,20,16021
34,20,26653
35,24,25805
36,19,28417
37,21,18843
38,21,22989
39,24,24692
40,23,27990
41,23,29737
42,24,21873
43,23,20675
44,20,15161
45,21,19297
46,24,25173
47,21,15995
48,18,29605
49,20,28103
50,37,40502
51,36,46910
52,38,52685
53,37,40206
54,34,57868
55,31,55934
56,34,57247
57,37,59174
58,39,48755
59,38,52383
60,38,58141
61,30,54820
62,38,47574
63,36,46374
64,38,41678
65,37,59626
66,30,41059
67,37,56198
68,37,49914
69,32,59541
70,30,50817
71,37,50921
72,32,49789
73,32,56312
74,30,51252
75,34,42693
76,39,53931
77,36,43627
78,39,56157
79,38,50173
80,36,58047
81,38,50230
82,37,55707
83,31,51494
84,30,41306
85,36,46776
86,36,49474
87,37,47526
88,34,45530
89,32,43748
90,37,53545
91,35,40663
92,32,41998
93,30,47994
94,32,57879
95,34,43304
96,32,58237
97,30,53808
98,34,46585
99,39,57675
100,58,82043
101,51,67811
102,46,88482
103,47,79243
104,45,71546
105,49,66986
106,45,73338
107,52,76411
108,45,67911
109,55,66734
110,45,83227
111,46,73680
112,46,84360
113,56,83343
114,50,70759
115,51,88078
116,49,67385
117,45,76111
118,45,69736
119,47,66802
120,58,73155
121,46,73120
122,49,71616
123,56,79257
124,54,79486
125,50,86918
126,51,85445
127,48,81646
128,51,79075
129,55,87671
130,52,74208
131,55,81371
132,45,76835
133,59,78168
134,50,67049
135,52,70423
136,49,79589
137,48,85932
138,46,84492
139,50,72158
140,50,75248
141,55,72400
142,59,84554
143,45,74874
144,53,80151
145,56,83639
146,55,66154
147,50,69499
148,57,71295
149,47,87581
