PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI
83.0558617,172.9562795,0.92,18.22,17.15,33.65086375,0.92,27.64,133.36,0,0.02,203.4258019
76.85050723,159.7973138,0.97,15.69,16.46,32.4073411,0.97,24.55,34.06,3.68,5.5,171.6504105
41.00893169,82.96081287,17.4,19.3,29.7,27.00475322,17.4,29.07,30.7,6.8,16.4,295.0738721
77.23225553,159.2272891,1.7,18.48,17.97,34.1550851,1.7,18.59,36.08,4.43,10.14,176.2891689
29.96953612,65.12686674,22.1,21.42,37.76,22.637075,22.1,39.33,39.31,7.01,18.89,338.8490683
-22.8182669,-59.63439714,45.41,38.48,81.5,16.45067103,45.41,45.76,46.51,5.42,10.83,520.4913245
-171.6766352,-424.6523466,112.16,40.62,130.77,6.880804002,112.16,32.28,33.47,0,0,992.531404
-103.0570027,-257.6144495,80.87,36.74,96.75,11.63736215,80.87,38.54,31.89,0,0,765.5729437
8.483369533,20.84629136,29.16,31,48,16.0180684,29.16,58.68,25.75,0,0,395.8857821
71.70028929,136.8756582,2.364544582,7.04,0,36.78018827,2.737678258,8.29,4.55,0,0,160.0746184
-213.4260021,-527.6818743,132.07,55.8,24.53,10.09522753,132.07,25.03,6.79,0,0,1108.097318
-40.10908923,-101.329484,52.04,40.67,90.24,13.54296416,52.04,51.84,45.89,2.41,0.03,570.6074421
-34.53199871,-73.08591912,48.82,44.2,87.09,8.373912728,48.82,68.21,35.16,9.45,13.35,554.834834
31.25045314,70.61682573,19.2,27.86,33.05,19.9363515,19.2,52.65,20.96,2.16,2.26,317.0648773
77.35609256,162.8048403,0.6,16.96,16.6,31.50262562,0.6,28.89,47.63,0.14,0.04,174.9015618
73.73780852,160.665366,1.63,21.72,22.86,28.35909599,1.63,38.27,46.03,0.35,0.05,188.745925
50.58679402,113.0111389,11.44,24.73,34.75,22.75373037,11.44,49.5,52.24,0.68,0,268.9495666
62.89818487,141.5869814,6.1,25.77,29.57,24.38700493,6.1,48.43,53.49,0.74,0.21,230.1419139
70.49305776,161.1219765,2.51,26.88,27.45,24.62646743,2.51,50.03,49.48,0.26,0.02,204.1117926
57.44372641,136.0012918,7.92,26.8,32.4,20.64205103,7.92,58.87,56.37,0.24,0.01,250.082849
46.18281351,142.4715623,9.52,33.56,39.28,4.772899359,9.52,106.93,48.75,0.33,0,286.5562054
58.90493056,115.7833111,9.05,17.51,22.33,31.25917766,9.05,23.71,42.22,0,0,231.7961309
26.28003588,49.23844606,22.53,27.96,47.79,23.38847444,22.53,39.19,32.92,0.39,0,339.7501529
71.5286306,157.4107379,2.03,20.39,21.4,27.27194062,2.03,40.07,32.49,0.47,0.7,187.7809807
70.38637771,166.925385,1.42,20.43,20.19,21.58249126,1.42,58.41,39.26,0.01,0,194.5963777
70.88373655,158.0482925,2.27,21.16,21.81,26.22119265,2.27,43.73,39.83,0.06,0,193.7474645
71.23385438,158.5905855,2.19,21.7,23.26,26.38519865,2.19,43.28,41.1,0.02,0,193.707522
73.24,156.5761763,5.72,21.11,25.84,29.31218416,5.72,36.52,62.42,0.03,0.01,242.2078692
83.13,130.9766289,6.93,28.71,33.72,27.9385615,6.93,49.52,59.76,0.02,0,209
79.84,139.038076,13.85,28.68,41.08,28.09521341,13.85,48.49,97.07,0.04,0,328
94.52,168.8668526,24.39,32.66,52.61,23.96564591,24.39,67.39,111.33,0.24,0.01,514
135.99,187.6195409,43.48,42.08,84.57,26.25382852,43.48,75.23,102.7,0.4,0.04,782
178.33,193.8664096,54.56,35.31,72.8,37.43281046,54.56,55.04,107.38,0.46,0.06,914
139.7,227.5053959,30.61,28.4,56.73,36.70665732,30.61,33.79,73.6,0.17,0.03,660
80.65,221.5595493,2.37,22.83,24,31.3990183,2.37,25.73,47.3,0,0,294
58.36,119.5484805,2.6,21.39,23.31,29.45463489,2.6,32.66,53.54,0,0,149
79.29,168.942574,1.16,26.94,26.83,21.10360545,1.16,67.41,59.3,0,0,190
88.7,156.9328688,7.29,31.32,37.73,18.7654983,7.29,80.09,44.76,0,0,247
74.28,215.5830044,8.92,27.3,33.42,22.5468011,8.92,54.28,47.42,0,0,379
113.93,251.7495392,4.32,24.27,26.86,28.03988479,4.32,48.73,39.94,0.02,0,341
105.39,218.771201,1.41,18.21,18.75,31.64310951,1.41,35.91,56.15,0,0,256
66.52,239.6102988,6.34,23.8,28.24,16.80652791,6.34,66.58,53.14,9.7,9.63,388
65.04,118.7637621,14.19,30.1,44.21,19.63615818,14.19,65.91,31.88,7.72,17.46,288
103.36,241.3413214,18.18,39.56,57.33,17.10459951,18.18,80.43,40.11,11.29,24.35,510
177.33,284.8700818,37.49,47.58,77.85,18.80387026,37.49,99.72,36.47,17,52.66,761
113.25,252.6201366,15.55,30.5,44.87,20.52063138,15.55,69.71,33.78,10.47,28.53,475
99.7,249.4339994,19.85,28.1,47.31,17.42075551,19.85,73.23,30.57,10.28,31.25,536
80.61,228.9691792,15.96,21.04,35.67,21.27066404,15.96,54.7,36.2,8.14,18.75,479
100.79,314.5198337,16.24,25.93,41.91,24.44358855,16.24,43.11,37.43,10,32.41,592
107.99,256.3866789,11.25,30.09,40.47,15.51923304,11.25,84.86,31.94,9.2,24.03,427
140.29,181.176996,33.84,36.14,68.85,16.16996774,33.84,101.53,40.98,20.12,43.51,588
239.96,330.9861459,61.95,46.25,106.92,28.8767976,61.95,84.87,33.55,22.14,53.98,1141
142.96,121.6198038,45.45,48.21,92.32,30.45954678,45.45,62.96,34.77,7.35,22.4,669
238.41,326.8098281,77.7,55.07,131.32,23.25438044,77.7,89.07,37.3,50.61,163.64,1247
118.72,250.4571001,12.56,32.01,42.56,23.09878847,12.56,61.54,38.8,16.89,46.52,411
52.99,214.3786801,2.23,10.45,10.39,25.12146047,2.23,32.76,67.25,3.85,11.39,292
82.80742091,157.729081,16.19831958,29.01305149,28.47684681,39.17710307,2.685765551,10.73692405,34.91447971,3.526897329,4.220113252,187.7464061
82.795021,157.7096154,16.19955031,29.01261262,28.47936348,39.16519351,2.685375087,10.73988526,34.91406626,3.526728303,4.223639332,187.7283853
82.78262109,157.6901498,16.20078104,29.01217375,28.48188016,39.15328396,2.684984624,10.74284647,34.91365282,3.526559277,4.227165411,187.7103644
61.12,135.7235038,3.58,16.81,20.92,29.54934966,3.58,28.44,30.48,2.69,1.58,186.0381037
60.78,88.95217236,9.07,18.21,27.34,30.59888941,9.07,29.48,34.75,2.05,0.55,189
91.83,204.6368348,12.99,28.71,40.76,28.7874942,12.99,39.71,38.46,2.69,1.74,408
93.88,143.9444527,18.21,29.38,47.01,24.13372128,18.21,62.75,46.79,5.21,2.55,383
173.01,164.5485617,48.44,42.27,90.73,28.98513445,48.44,78.76,59.39,9.72,9.96,780
82.70822164,157.5733565,16.2081654,29.00954053,28.49698019,39.08182666,2.682641841,10.76061372,34.91117212,3.52554512,4.248321888,187.6022395
105.45,183.7572699,2.5,16.1,18.66,34.00864937,2.5,29.29,69.9,17.77,5.75,236.6580967
71.56,146.0903194,3.51,16.83,20.32,30.25150699,3.51,30.28,57.16,3.95,8.01,190
119.8,194.6197888,4.13,24.07,27.9,29.34482818,4.13,50.35,50.49,4.85,12.15,233
106.71,216.0184398,5.39,25.59,30.51,30.49724393,5.39,38.85,60.17,5.58,14.17,297
118.49,258.662898,4.11,28.94,31.83,26.14162285,4.11,54.2,53.61,7.9,21.32,330
106.01,198.9602164,4.28,27.31,30.54,21.46327728,4.28,70.29,40.91,9.45,15.54,252
97.34,197.9694741,3.67,21.58,24.62,21.91763525,3.67,64.39,45.69,5.61,15.02,244
83.92,165.3915432,6.42,25.03,30.8,19.82550814,6.42,67.53,34.94,8.24,21.47,234
49.51,162.6546119,3.1,14.16,16.15,21.02861432,3.1,48.33,37.95,4.34,11.34,219
30.76,91.77666505,2.72,14.14,16.98,22.35863488,2.72,43.62,54.78,3.58,9.38,118
50.29,151.953261,5.34,29.84,33.28,18.97364629,5.34,59.23,45.44,5.45,15.12,231
57.69,25.31236255,25.36,29.48,54.79,22.74236249,25.36,58.33,52.87,9.55,32.11,286
105.06,260.889336,46.24,37.05,82.23,21.47300557,46.24,53.62,45.65,20.89,75.36,883
94.1,348.1541034,22.14,36.53,57.49,16.79845597,22.14,61.31,46.77,17.5,52.01,720
111.89,266.6163661,22.25,43.29,64.53,20.16028177,22.25,66.44,50.57,18.03,56.86,570
108.59,245.6563958,25.38,39.34,63.01,17.6418009,25.38,75.8,46.68,15.78,48.41,589
130.76,245.2411352,45.61,41.03,85.76,21.42124605,45.61,65.77,41.58,24.12,85.31,818
143.55,355.5395528,27.3,31.15,57.16,24.54727118,27.3,50.98,35.38,18.61,72.78,737
165.07,284.7190937,23.83,34.48,57.71,26.1920584,23.83,64.32,43.79,29.14,64.01,585
166.85,363.2271828,17.93,43.3,60.07,20.34409839,17.93,79.71,53.44,24.09,67.38,616
147.38,332.4784069,6.4,35.82,40.22,28.50715816,6.4,46.89,17.94,14.23,41.88,437
158.25,259.0418688,5.86,27.89,32.65,5.186344501,5.86,142.36,38.54,13.67,21.24,321
237.76,332.8990522,4.99,21.8,25.37,26.75376691,4.99,96.28,39.77,8.68,14.95,372
133.37,269.2386282,3.88,17.99,21.02,26.25511644,3.88,57.34,39.66,5.76,11.74,339
133.3,248.1674504,6.52,20,26.18,28.51039914,6.52,51.58,59.03,9.94,21.13,339
96.04,241.9406689,3.8,20.07,23.46,20.8452328,3.8,62.42,46.61,7.54,13.44,324
77.69,159.0139488,5.24,18.87,23.06,9.43564928,5.24,100.48,27.14,9.49,11.77,222
53.07,120.9282023,4.17,13.82,17.45,24.61234443,4.17,40.36,21.76,4.47,6.94,169
63.11,146.2952736,5.63,15.5,18.49,25.53614104,5.63,38.21,4.72,5.2,8.17,220
156.76,257.1702273,3.92,16.7,20.97,38.23529025,3.92,26.32,37.11,3.88,10.78,303.5131112
120.96,239.7360941,4.23,20.86,25.02,31.60040177,4.23,35.54,35.66,6.05,15.85,303
138.63,249.2944556,5.65,25.47,30.67,18.30095294,5.65,87.43,29.77,11.25,24.67,314
144.36,217.3803324,15.82,30.69,46.1,25.00714272,15.82,66.39,27.34,17.22,49.56,378
85.03,311.0449535,3.3,26.7,27.41,17.86044783,3.3,59.16,35.89,7.58,29.19,415
134.6,223.9286034,5.9,26.27,28.7,34.38715187,5.9,34.53,7,0,0,299.747125
61.06,99.87376197,3.52,14.03,17.59,35.7805509,3.52,8.08,19.54,0,0,126
39.42,103.4223247,5.28,19.56,24.66,30.53540592,5.28,17.66,31.3,0,0,175
111.86,181.6700556,3.89,22.51,25.17,38.41494478,3.89,15.84,31.23,0,0,226
58.37,157.4016479,5.74,21.71,27.69,28.93214364,5.74,25.9,43.92,2.15,10.46,244
95.37,105.7679682,18.01,26.23,44.34,38.95681692,18.01,13.59,41.64,1.21,3.28,315
141.3,239.228684,30.8,36.88,66.53,33.41241337,30.8,41.06,37.66,0.66,0.01,678
106.68,374.2327988,19.91,46.38,54.77,29.01197875,19.91,31.56,48.49,1.67,0,774
109.48,215.603407,4.3,20.27,22.86,28.0674797,4.3,46.6,31.34,0.05,0,285
126.04,224.601609,6.99,20.18,26.78,20.2422361,6.99,79.56,28.71,0.2,0,321
71.22,153.5019355,16.73,21.32,37.58,22.58432884,16.73,50.09,28.39,1.38,23.54,358
97.87,238.5620099,6.3,17.96,23.45,35.0239536,6.3,13.85,34.16,0.21,4.91,357
63.38,139.7070663,3.44,13.28,15.44,30.44714654,3.44,24.79,43.62,0,0,189
75.29,183.4605893,3.35,14.29,17.97,16.07757965,3.35,76.05,60.71,0,0.01,246.542189
80.9,147.9346866,5.7,18.62,24.23,20.45695158,5.7,65.44,22.8,0.05,0.09,214
103.29,195.1297282,4.55,19.82,23.69,16.25776245,4.55,85.42,22.18,0.06,1.17,253
107.5,181.9045681,5.29,15.56,19.73,19.97921523,5.29,74.37,10.12,0.09,0.16,239
161.14,314.1395176,3.11,14.77,16.12,10.88407572,3.11,118.35,59.73,0,2.55,379.2118106
102.58,198.4856243,3.88,12.74,16.82,28.06238319,3.88,41.94,26.89,0.02,6.4,246.8981771
138.42,235.6980637,5.05,16.7,21.56,21.76521649,5.05,77.74,27.18,0.01,0.88,300
129.04,236.3223928,5.69,14.86,19.66,20.1568757,5.69,78.27,18.67,0,0,317
96.65,179.7596373,4.67,15.9,20.53,28.74031057,4.67,39.41,11.83,0.01,0,240
126.77,163.1801933,15.69,23.93,39.73,18.13797081,15.69,93.18,36.71,0.22,0.04,344
106.15,267.7549911,13.12,23.02,35.05,21.22896669,13.12,65.95,81.6,0.3,0.02,503
86.31,228.2579072,2.69,10.5,10.9,24.21202365,2.69,50.13,90.54,0.47,0.15,308
83.99,178.3631286,2.73,0.08,2.75,29.02748728,2.73,34.06,69.57,0.28,0.05,227
65.11,102.0001138,3.14,4.58,6.75,31.70765445,3.14,22.27,32.26,0.17,0.04,120
51.03,89.78584307,6.24,20.47,26.2,32.84024959,6.24,15.5,31.44,0,0,158
38.73,81.16570039,8,19.28,26.61,29.93681169,8,20.13,25.7,0,0,177
61.12,91.36652988,9.94,17.82,27.18,26.76162411,9.94,39.69,25.9,0,0,201
58.44,91.49180533,10.68,17.24,27.38,21.8753627,10.68,54.69,18.89,0,0,211
61.49,91.74897615,11.44,16.69,27.61,25.67996307,11.44,42.66,18.2,0.01,0,221
65.39,92.19854384,12.3,16.08,27.86,30.45023477,12.3,27.96,22.35,0,0,233
100.92,203.7122551,20.42,18.9,37.83,29.90518547,20.42,31.9,22.84,4.9,19.26,481
97.48,262.2735616,5.31,30.02,33.62,26.69067297,5.31,36.05,16.26,10.6,34.91,352
129.27,188.0279114,14.28,28.33,41.92,22.53796335,14.28,70.13,25.4,16.9,44.19,327
129.58,310.5575692,21.23,28.79,45.4,32.73821076,21.23,17.66,34.42,20.53,85.73,577
100.57,270.3013437,7.56,18.79,24.33,26.58386926,7.56,38.76,38.83,4.92,17.94,411
130.34,164.0507482,7.14,17.43,23.72,29.52639666,7.14,52.07,29.05,5.05,14,212
53.24,161.0263146,8.05,15.86,23.34,23.88520035,8.05,36.23,21.58,5.23,15,280
42,52.90614004,10.44,18.16,21.8,32.0426936,10.44,17,25.5,0,0,162
50.1,112.51379,9.46,14.9,22.5,26.89127623,9.46,30.67,12.91,0.41,1.89,233.8077867
83.69,325.4860744,10.89,17.18,27.15,21.69060716,10.89,41.12,35.61,12.62,20.2,569
38.88,106.7003044,2.18,16.28,17.74,26.7081887,2.18,26.4,12.47,3,6.96,128
46.89,106.9297447,2.96,16.17,18.49,23.08955092,2.96,41.96,10.74,3.41,8.87,129
70.96,119.9548443,4.12,15.47,19.28,31.18464444,4.12,23.67,16.01,3.72,8.13,152
53.66,122.0599706,4.23,14.43,18.06,32.12698273,4.23,14.46,45.64,2.39,6.4,176
45.49,109.5350355,4.26,13.73,17.1,32.37283111,4.26,12.85,71.85,2.5,5.96,167
60.86,75.42482014,5.27,16.61,21.42,34.1351651,5.27,14.91,41.19,3.03,9.18,106
51.93,82.53670646,13.71,17.87,31.64,31.53677791,13.71,15.33,12.88,6.32,19.17,231
77.87,210.6879886,6.67,17.12,23,22.6872104,6.67,46.82,16.67,4.79,9.78,327
57.59,114.0137826,5.6,15.47,20.42,24.57405494,5.6,41.68,25.51,2.64,6.3,174
77.22,122.3719754,7.02,15.47,21.13,17.6977197,7.02,71.97,9.56,3.74,8.45,185
45.29,97.5303367,7.25,12.74,19.66,29.53108948,7.25,18.64,6.32,2.73,6.99,179
103.78,148.4850744,6.36,13.9,19.86,39.28026476,6.36,7.76,15.27,0.82,1.37,211
25.14,101.0008859,6.01,18.73,24.74,22.37467338,6.01,38.05,38.52,0,0,192
87.03,184.0865847,8.05,17.88,25.53,32.23376968,8.05,23.84,48.22,0,0,310
89.6,146.3233703,6.59,19.84,25.9,26.70198751,6.59,48.05,44.78,0,0,223
80.69,121.416651,6.86,16.07,22.25,28.21448011,6.86,39.85,32.65,0,0,192
44.75,95.45433356,7.76,16.53,24.29,32.47163325,7.76,9.89,8.07,0,0,191
38.11,93.89739645,7.41,11.62,19.03,33.10466492,7.41,3.13,6.69,2.5,5.93,184
45.5,109.1421102,8.56,15.59,24.15,34.29705939,8.56,0.76,3.82,5.09,8.52,220
36.98,106.2901965,8.21,11.52,19.74,33.19047918,8.21,0.52,5.17,3.63,8.16,215
43.58,114.3075957,8.26,13.33,21.58,33.84736708,8.26,1.02,7.56,3.59,6.79,226
45.49,118.7029845,9.63,14.91,24.53,33.98107846,9.63,0.81,2.94,3.67,6.62,251
38.06,100.9029459,8.67,18.57,27.25,33.74111081,8.67,1.05,4.63,2.85,5.12,216
45.41,113.0897033,9.35,20.55,29.9,34.41985124,9.35,0.74,4.5,2.83,7.18,237
37.71,93.47027101,8.54,16.26,24.8,33.73725548,8.54,0.87,4.6,2.52,7.61,198
32.37,98.31025147,7.53,14.36,21.89,32.58438059,7.53,2.17,12.17,1.88,7.92,195
34.74,92.75153568,7.59,13.51,21.11,32.50726409,7.59,4.11,12.22,1.82,6.19,187
32.56,92.19697275,7.34,13.91,21.25,32.14304866,7.34,4.04,11.85,2.55,9.3,181
29.28,86.52540484,7.55,11.68,19.23,31.87632198,7.55,4.01,12.64,1.64,7,179
20.46,90.23158955,7.15,10.61,17.76,30.17978844,7.15,5.62,12.7,1.26,5.17,188
26.07,88.18302162,7.99,11.07,19.06,31.29036485,7.99,4.1,10.57,1.5,6.9,190
21.43,87.78939637,7.45,11.16,18.62,30.39561274,7.45,4.99,7.38,1.4,6.69,185
11.91,92.22739701,7.34,10.1,17.44,27.01877633,7.34,10.86,5.47,1.3,12.23,189
57.75,101.724833,8.68,9.68,18.36,32.40391003,8.68,12.28,3.06,1.98,6.51,196
66.39,109.225197,8.58,12.79,21.36,33.8462653,8.58,11.09,4.96,1.76,6.18,201
62.61,120.3957791,9.15,9.83,18.98,32.56938624,9.15,12.31,6.44,1.87,5.47,231
47.5,100.1906723,8.07,9.53,17.59,30.80380053,8.07,13.91,7.28,1.34,3.97,196
111.8,136.3084555,9.23,11.51,20.74,40.58181141,9.23,5.27,5.99,1.84,5.69,220
30,114.1229672,8.87,13.59,22.64,29.91985587,8.87,8.09,6.31,1.32,4.59,244
4.66,87.34589827,9.01,10.9,20.36,27.50139962,9.01,7.31,6.38,1.27,3.94,223
48.72,108.4213604,9.56,11.94,21.5,33.08222509,9.56,5.72,6.61,1.77,4.96,230
49.7,117.9398498,9.43,9.81,19.23,32.52131358,9.43,6.78,6.42,2,4.79,243
48.1,112.175033,8.03,9.53,17.57,31.78868635,8.03,9.33,7.6,1.68,4.41,215
47.43,100.1453264,8.11,9.45,17.56,32.45854833,8.11,7.93,7.08,2.1,3.6,199
51.74,95.85658228,8.91,12.38,21.28,32.61317154,8.91,10.05,5.78,2.15,3.64,200
42.68,102.1992124,9.74,11.08,20.82,30.84790688,9.74,10.87,4.44,1.62,4.96,226
38.45,101.7494659,10.55,7.8,18.35,30.27596327,10.55,10.28,3.24,2.46,4.79,241
46.69,86.68999883,11.48,0.17,11.64,31.46068299,11.48,10.25,5.76,1.77,4.34,222
55.27,90.87283193,11.55,0.12,11.66,31.75303506,11.55,12.7,6.55,1.69,4.17,223
149.03,153.2026765,11.49,0.16,11.65,42.84526829,11.49,10.07,7.27,1.71,5.72,248
86.57,153.7891781,11.47,0.17,11.64,34.46801897,11.47,11.09,6.53,1.57,3.85,300
111.77,125.9616379,11.3,0.24,11.53,39.45306366,11.3,7.73,4.67,1.72,4.52,232
151.4,209.5726853,10.8,0.36,11.16,42.23467501,10.8,7.8,5.46,0.95,3.54,330
51.35,119.725576,8,2.69,10.67,31.32951044,8,10,5.76,1.54,4.32,223
65.37,117.602056,0.64,8.07,8.57,31.85234216,0.64,16.31,8.02,1.63,4.34,105
56.28,111.0038528,0.6,8.02,8.51,30.07948895,0.6,18.93,6.2,1.52,3.74,101
48.17,102.7178778,0.65,8,8.55,29.23010457,0.65,18.99,7.97,1.23,4.74,93
33.56,78.10818473,0.72,7.89,8.56,30.33521964,0.72,11.28,10.18,0.61,3.85,67
