Employee_ID,Department,Date,Attendance_Status
2001,HR,2025-03-03,Present
2001,HR,2025-03-04,Present
2001,HR,2025-03-05,Present
2001,HR,2025-03-06,Present
2001,HR,2025-03-07,Absent
2002,Finance,2025-03-03,Present
2002,Finance,2025-03-04,Present
2002,Finance,2025-03-05,Present
2002,Finance,2025-03-06,Present
2002,Finance,2025-03-07,Present
2003,Sales,2025-03-03,Present
2003,Sales,2025-03-04,Present
2003,Sales,2025-03-05,Present
2003,Sales,2025-03-06,Present
2003,Sales,2025-03-07,Absent
2004,HR,2025-03-03,Present
2004,HR,2025-03-04,Present
2004,HR,2025-03-05,Present
2004,HR,2025-03-06,Present
2004,HR,2025-03-07,Present
2005,Finance,2025-03-03,Present
2005,Finance,2025-03-04,Present
2005,Finance,2025-03-05,Present
2005,Finance,2025-03-06,Present
2005,Finance,2025-03-07,Absent
2006,HR,2025-03-03,Present
2006,HR,2025-03-04,Present
2006,HR,2025-03-05,Present
2006,HR,2025-03-06,Present
2006,HR,2025-03-07,Absent
2007,Finance,2025-03-03,Present
2007,Finance,2025-03-04,Present
2007,Finance,2025-03-05,Present
2007,Finance,2025-03-06,Present
2007,Finance,2025-03-07,Present
2008,Sales,2025-03-03,Present
2008,Sales,2025-03-04,Present
2008,Sales,2025-03-05,Present
2008,Sales,2025-03-06,Absent
2008,Sales,2025-03-07,Present
2009,Finance,2025-03-03,Present
2009,Finance,2025-03-04,Present
2009,Finance,2025-03-05,Present
2009,Finance,2025-03-06,Present
2009,Finance,2025-03-07,Present
2010,IT,2025-03-03,Present
2010,IT,2025-03-04,Present
2010,IT,2025-03-05,Present
2010,IT,2025-03-06,Absent
2010,IT,2025-03-07,Present
2011,HR,2025-03-03,Present
2011,HR,2025-03-04,Present
2011,HR,2025-03-05,Present
2011,HR,2025-03-06,Present
2011,HR,2025-03-07,Present
2012,Operations,2025-03-03,Present
2012,Operations,2025-03-04,Present
2012,Operations,2025-03-05,Absent
2012,Operations,2025-03-06,Absent
2012,Operations,2025-03-07,Present
2013,HR,2025-03-03,Present
2013,HR,2025-03-04,Present
2013,HR,2025-03-05,Present
2013,HR,2025-03-06,Present
2013,HR,2025-03-07,Present
2014,Finance,2025-03-03,Present
2014,Finance,2025-03-04,Present
2014,Finance,2025-03-05,Present
2014,Finance,2025-03-06,Absent
2014,Finance,2025-03-07,Present
2015,IT,2025-03-03,Present
2015,IT,2025-03-04,Absent
2015,IT,2025-03-05,Present
2015,IT,2025-03-06,Present
2015,IT,2025-03-07,Leave
2016,Operations,2025-03-03,Present
2016,Operations,2025-03-04,Absent
2016,Operations,2025-03-05,Present
2016,Operations,2025-03-06,Present
2016,Operations,2025-03-07,Present
2017,Sales,2025-03-03,Present
2017,Sales,2025-03-04,Absent
2017,Sales,2025-03-05,Present
2017,Sales,2025-03-06,Present
2017,Sales,2025-03-07,Present
2018,Operations,2025-03-03,Present
2018,Operations,2025-03-04,Present
2018,Operations,2025-03-05,Present
2018,Operations,2025-03-06,Present
2018,Operations,2025-03-07,Present
2019,Sales,2025-03-03,Leave
2019,Sales,2025-03-04,Absent
2019,Sales,2025-03-05,Present
2019,Sales,2025-03-06,Present
2019,Sales,2025-03-07,Leave
2020,IT,2025-03-03,Present
2020,IT,2025-03-04,Present
2020,IT,2025-03-05,Present
2020,IT,2025-03-06,Present
2020,IT,2025-03-07,Present
