Order_ID,Order_Date,Region,Category,Product,Quantity,Unit_Price,Sales_Amount
5020,2025-01-01,East,Electronics,Headphones,7,2579,18053
5039,2025-01-02,South,Electronics,Mobile,7,21773,152411
5033,2025-01-05,South,Stationery,Notebook,3,113,339
5093,2025-01-05,South,Furniture,Chair,3,3389,10167
5061,2025-01-05,West,Electronics,Headphones,4,2699,10796
5023,2025-01-07,West,Furniture,Chair,3,3353,10059
5048,2025-01-11,East,Stationery,Notebook,5,127,635
5078,2025-01-13,North,Furniture,Chair,7,3130,21910
5077,2025-01-17,South,Stationery,Backpack,7,1534,10738
5024,2025-01-20,North,Electronics,Laptop,3,59377,178131
5059,2025-01-20,North,Stationery,Pen,3,21,63
5062,2025-01-20,West,Stationery,Pen,2,18,36
5087,2025-01-21,West,Stationery,Backpack,4,1424,5696
5073,2025-01-22,North,Stationery,Pen,2,20,40
5008,2025-01-24,North,Electronics,Laptop,2,49750,99500
5047,2025-01-24,North,Furniture,Cupboard,5,16453,82265
5002,2025-01-26,North,Stationery,Backpack,5,1450,7250
5065,2025-01-31,East,Furniture,Cupboard,7,17160,120120
5063,2025-02-03,North,Electronics,Laptop,5,59764,298820
5030,2025-02-04,North,Stationery,Backpack,1,1600,1600
5091,2025-02-05,East,Electronics,Laptop,3,59800,179400
5049,2025-02-05,North,Electronics,Headphones,5,2499,12495
5032,2025-02-08,East,Furniture,Table,1,8147,8147
5098,2025-02-09,North,Stationery,Notebook,2,123,246
5012,2025-02-12,South,Furniture,Table,7,6880,48160
5096,2025-02-13,South,Stationery,Backpack,2,1593,3186
5094,2025-02-13,East,Electronics,Laptop,4,51287,205148
5025,2025-02-14,South,Furniture,Cupboard,6,19366,116196
5076,2025-02-17,North,Electronics,Headphones,2,2560,5120
5092,2025-02-18,West,Electronics,Laptop,3,50796,152388
5088,2025-02-23,West,Furniture,Cupboard,1,18694,18694
5095,2025-02-24,West,Electronics,Laptop,6,50158,300948
5022,2025-02-25,North,Electronics,Laptop,7,58361,408527
5031,2025-02-26,South,Electronics,Laptop,5,60359,301795
5027,2025-02-26,East,Electronics,Laptop,2,51362,102724
5090,2025-03-01,North,Stationery,Backpack,4,1507,6028
5050,2025-03-03,North,Electronics,Laptop,4,56305,225220
5083,2025-03-09,South,Electronics,Headphones,6,2600,15600
5057,2025-03-09,East,Electronics,Headphones,3,2515,7545
5075,2025-03-09,North,Furniture,Cupboard,6,17276,103656
5003,2025-03-09,South,Electronics,Headphones,2,2520,5040
5015,2025-03-10,South,Electronics,Mobile,6,21564,129384
5026,2025-03-11,East,Stationery,Backpack,4,1649,6596
5046,2025-03-13,North,Stationery,Backpack,3,1447,4341
5036,2025-03-14,East,Furniture,Table,2,7294,14588
5009,2025-03-14,North,Furniture,Table,7,7194,50358
5066,2025-03-15,East,Electronics,Laptop,4,59555,238220
5021,2025-03-17,West,Electronics,Headphones,1,2696,2696
5082,2025-03-18,East,Furniture,Chair,7,3248,22736
5037,2025-03-25,East,Furniture,Chair,3,3443,10329
5070,2025-03-25,South,Stationery,Notebook,7,128,896
5035,2025-03-29,East,Electronics,Laptop,7,57225,400575
5010,2025-03-31,North,Furniture,Table,3,6793,20379
5006,2025-04-03,North,Electronics,Laptop,5,49517,247585
5053,2025-04-03,East,Electronics,Headphones,2,2268,4536
5045,2025-04-03,West,Stationery,Backpack,3,1420,4260
5079,2025-04-04,North,Furniture,Cupboard,3,16733,50199
5043,2025-04-04,South,Furniture,Chair,5,3115,15575
5055,2025-04-11,North,Furniture,Chair,2,3192,6384
5005,2025-04-14,South,Electronics,Headphones,2,2633,5266
5080,2025-04-18,North,Stationery,Backpack,5,1464,7320
5084,2025-04-21,North,Electronics,Laptop,7,59846,418922
5011,2025-04-21,South,Electronics,Headphones,6,2742,16452
5029,2025-04-23,East,Furniture,Chair,1,3134,3134
5041,2025-04-29,North,Stationery,Notebook,1,126,126
5074,2025-04-30,East,Electronics,Mobile,6,21231,127386
5058,2025-05-04,West,Furniture,Chair,5,3095,15475
5064,2025-05-04,South,Stationery,Notebook,1,124,124
5086,2025-05-05,South,Furniture,Chair,1,3377,3377
5067,2025-05-08,North,Furniture,Chair,6,2986,17916
5017,2025-05-08,East,Electronics,Laptop,7,49878,349146
5069,2025-05-11,East,Electronics,Headphones,4,2318,9272
5099,2025-05-12,North,Furniture,Chair,5,2997,14985
5051,2025-05-16,South,Electronics,Laptop,2,52279,104558
5018,2025-05-16,West,Stationery,Pen,5,20,100
5013,2025-05-17,East,Electronics,Laptop,4,56327,225308
5034,2025-05-18,South,Furniture,Chair,2,2955,5910
5081,2025-05-18,South,Electronics,Mobile,2,21187,42374
5085,2025-05-23,North,Stationery,Pen,2,20,40
5007,2025-05-23,North,Electronics,Headphones,2,2513,5026
5089,2025-05-24,North,Electronics,Laptop,7,50167,351169
5040,2025-05-25,South,Stationery,Pen,3,18,54
5072,2025-05-27,North,Stationery,Backpack,5,1405,7025
5054,2025-05-30,West,Stationery,Notebook,1,113,113
5052,2025-06-01,North,Furniture,Table,6,7776,46656
5004,2025-06-01,East,Furniture,Cupboard,6,17403,104418
5028,2025-06-02,North,Furniture,Cupboard,7,17395,121765
5060,2025-06-05,North,Furniture,Table,7,7372,51604
5100,2025-06-07,North,Electronics,Headphones,2,2643,5286
5068,2025-06-09,East,Furniture,Table,4,7220,28880
5042,2025-06-09,South,Electronics,Mobile,6,20768,124608
5056,2025-06-13,South,Electronics,Headphones,1,2724,2724
5014,2025-06-17,East,Electronics,Headphones,1,2286,2286
5044,2025-06-22,East,Electronics,Headphones,2,2636,5272
5019,2025-06-22,East,Stationery,Backpack,6,1636,9816
5001,2025-06-25,North,Electronics,Mobile,6,23240,139440
5038,2025-06-26,North,Furniture,Chair,7,3175,22225
5016,2025-06-26,South,Electronics,Headphones,2,2501,5002
5097,2025-06-28,West,Electronics,Mobile,5,23542,117710
5071,2025-06-28,North,Electronics,Laptop,7,59041,413287
